!  
! R    D    M    P
201
2.5000000000000004 14652233608.818235 0.001570536289945205 -874423732139.0615
3.9875000000000007 3174669750.069828 1327672430500.699 -746710185939.1448
5.4750000000000005 1056682546.6759907 2095488930967.4343 -624104162338.5564
6.962500000000002 446821880.2452119 2593970904580.0303 -530782345300.49133
8.450000000000001 220239819.01328725 2943389295295.375 -460079574734.291
9.937500000000002 120786010.28773735 3201847959354.1235 -405336028579.2247
11.425000000000002 71664252.4552565 3400758992270.2812 -361926165828.5661
12.912500000000003 45167089.837283544 3558572172280.062 -326754719994.68634
14.400000000000004 29862304.623949323 3686831311925.7896 -297723453593.27985
15.887500000000005 20525621.983355924 3793127706950.782 -273375829333.41226
17.375000000000004 14569381.633109327 3882657999768.874 -252675222617.32004
18.862500000000004 10625441.695283111 3959099265900.494 -234866366671.17447
20.350000000000005 7930305.615324711 4025126563380.54 -219387171169.96548
21.837500000000006 6038087.147641137 4082732469367.2754 -205811278632.65182
23.325000000000003 4678081.425219034 4133431678517.5737 -193809748207.36447
24.812500000000007 3680334.093504779 4178396164579.0996 -183124915790.091
26.300000000000008 2934974.1894685277 4218546924738.446 -173552184743.77078
27.78750000000001 2369117.7541716173 4254617750395.2085 -164927095888.0291
29.27500000000001 1933297.1769820945 4287200493845.295 -157115984167.72488
30.762500000000006 1593244.085996608 4316777805982.443 -150009118423.22522
32.25000000000001 1324778.6122747783 4343747212373.222 -143515590331.5482
33.737500000000004 1110553.2797891388 4368439088414.228 -137559455339.20618
35.22500000000001 937932.9471410536 4391130264151.358 -132076782983.54704
36.712500000000006 797586.9635769154 4412054450166.877 -127013376752.62375
38.20000000000001 682537.3343654863 4431410318661.793 -122322993091.87349
39.68750000000001 587504.524563015 4449367832760.609 -117965936855.46947
41.17500000000001 508450.9865642071 4466073251631.354 -113907943722.18726
42.66250000000001 442258.18446931266 4481653123749.66 -110119283553.95183
44.150000000000006 386495.1105219891 4496217499187.448 -106574035449.39934
45.63750000000001 339250.3808399655 4509862533499.262 -103249497381.34178
47.12500000000001 299009.08583582024 4522672613530.895 -100125702185.28517
48.61250000000002 264561.52425329434 4534722104517.08 -97185018228.15025
50.100000000000016 234934.9069827143 4546076794911.782 -94411817983.51138
51.58750000000001 209341.78309797827 4556795098253.951 -91792201427.72205
53.07500000000002 187140.7599728414 4566929058436.99 -89313763972.64055
