!  
! R    D    M    P
1001
1.4999999999999998 9393676705.20989 8.806571911134272e-05 -440038785875.02313
1.7984999999999998 6252386563.281552 77571497280.9738 -435652620867.9727
2.0969999999999995 4378506961.633102 151613833235.1935 -426510946948.9584
2.3954999999999997 3188623488.4736886 222043292827.3716 -415355861077.0943
2.6939999999999995 2395606661.9064965 288969927106.53204 -403498099034.6023
2.9924999999999993 1846217558.555585 352586850588.8624 -391591166165.39996
3.2909999999999995 1453322423.442839 413116707380.6039 -379964500196.3437
3.5894999999999997 1164775372.8829355 470785588477.25165 -368779612475.53613
3.8879999999999995 948021605.38384 525810606466.2249 -358108096564.1322
4.186499999999999 782000490.9665254 578394418718.9458 -347972544746.84344
4.4849999999999985 652666278.6133034 628723315408.9884 -338368816041.58246
4.783499999999999 550401523.8172741 676967118904.884 -329278488542.7055
5.081999999999999 468467420.58149236 723279969144.879 -320675951192.41125
5.380499999999999 402045146.7973538 767801502335.2452 -312532480232.5769
5.678999999999999 347625903.0909336 810658161479.5944 -304818579667.68005
5.977499999999999 302613020.63163406 851964502679.2142 -297505304662.28766
6.275999999999999 265056567.80966634 891824429806.5872 -290564981990.77985
6.574499999999999 233472759.36245018 930332327764.7582 -283971570984.3921
6.872999999999998 206718830.3160233 967574084935.6909 -277700810442.8495
7.171499999999999 183904905.1118728 1003628006178.146 -271730239519.58755
7.469999999999999 164330986.83017224 1038565623089.1808 -266039146277.87997
7.768499999999999 147441283.56743097 1072452410580.0482 -260608476813.0697
8.066999999999998 132790680.7545234 1105348419495.7644 -255420725068.2591
8.365499999999999 120019840.64196871 1137308834804.4841 -250459815559.68622
8.663999999999998 108836508.1230018 1168384468241.2334 -245710986294.2861
8.962499999999997 99001334.38330345 1198622193461.2124 -241160676075.33844
9.260999999999997 90317025.54328258 1228065330879.7996 -236796418462.65585
9.559499999999998 82619963.5701948 1256753988523.783 -232606743454.766
9.857999999999999 75773683.08951621 1284725364427.913 -228581087225.04007
10.156499999999998 69663753.93135439 1312014015397.9478 -224709709803.13574
10.454999999999998 64193737.430729784 1338652096329.3826 -220983620340.09146
10.753499999999997 59281969.41531378 1364669573717.0098 -217394509461.1538
11.051999999999998 54858984.425426 1390094416508.2986 -213934688150.65652
11.350499999999998 50865440.82782199 1414952767035.915 -210597032599.45294
