!  
! R    D    M    P
4001
1.5 52139628183.41393 0.0012220225355487643 -1228427477278.0469
1.5019881854764692 51946576924.17618 2929456340.4459524 -1228426184016.4597
1.5039790062072644 51754175092.06965 5859685143.195074 -1228422310394.9548
1.5059724656853017 51562420784.12376 8790682910.835194 -1228415862568.7258
1.5079685674081271 51371312101.82608 11722446144.08022 -1228406846685.1648
1.5099673148779225 51180847151.11572 14654971341.78721 -1228395268883.865
1.5119687116015115 50991024042.37696 17588255000.97256 -1228381135296.6223
1.5139727610903662 50801840890.43282 20522293616.828815 -1228364452047.4392
1.5159794668606128 50613295814.53852 23457083682.740845 -1228345225252.5242
1.517988832433038 50425386938.375206 26392621690.302 -1228323461020.2969
1.5200008613330953 50238112390.043205 29328904129.331562 -1228299165451.3884
1.5220155570909106 50051470302.05577 32265927487.889275 -1228272344638.6438
1.5240329232412897 49865458811.33263 35203688252.294395 -1228243004667.1243
1.5260529633237225 49680076059.193375 38142182907.13926 -1228211151614.1108
1.5280756808823912 49495320191.351074 41081407935.30796 -1228176791549.1035
1.5301010794661754 49311189357.90579 44021359817.99187 -1228139930533.827
1.5321291626286584 49127681713.33804 46962035034.706024 -1228100574622.2305
1.534159933928134 48944795416.50245 49903430063.30592 -1228058729860.4905
1.5361933969276118 48762528630.62112 52845541380.00329 -1228014402287.014
1.5382295551948248 48580879523.277176 55788365459.38408 -1227967597932.4392
1.5402684123022343 48399846266.408356 58731898774.42299 -1227918322819.6392
1.5423099718270366 48219427036.30048 61676137796.50079 -1227866582963.7234
1.54435423735117 48039620013.58085 64621078995.422035 -1227812384372.0393
1.5464012124613202 47860423383.211876 67566718839.42916 -1227755733044.1768
1.5484509007489269 47681835334.48451 70513053795.2208 -1227696634971.9673
1.55050330581019 47503854061.0118 73460080327.96751 -1227635096139.4895
1.5525584312460763 47326477760.72233 76407794901.32848 -1227571122523.0693
1.5546162806623254 47149704635.8537 79356193977.4681 -1227504720091.2825
1.5566768576694556 46973532892.94611 82305274017.07147 -1227435894804.9575
1.5587401658827718 46797960742.83568 85255031479.36288 -1227364652617.1775
1.56080620892237 46622986400.64809 88205462822.12056 -1227290999473.283
1.562874990413145 46448608085.79196 91156564501.69392 -1227214941310.8735
1.5649465139847958 46274824021.9524 94108332973.01993 -1227136484059.8108
1.567020783271833 46101632437.08444 97060764689.63994 -1227055633642.2195
1.5690978019135842 45929031563.406494 100013856103.71541 -1226972395972.4917
1.5711775735542004 45757019637.393906 102967603666.0448 -1226886776957.2876
1.5732601018426633 45585594899.77226 105922003826.08041 -1226798782495.539
1.5753453904327914 45414755595.51111 108877053031.94533 -1226708418478.4507
1.5774334429832457 45244499973.81712 111832747730.44843 -1226615690789.503
1.5795242631575364 45074826288.127846 114789084367.10144 -1226520605304.4546
1.5816178546240303 44905732796.10491 117746059386.13716 -1226423167891.3445
1.5837142210559554 44737217759.62772 120703669230.5228 -1226323384410.4946
1.5858133661314098 44569279444.78669 123661910341.98024 -1226221260714.512
1.5879152935333651 44401916121.87688 126620779160.9985 -1226116802648.2915
1.5900200069496762 44235126065.39135 129580272126.8543 -1226010016049.0176
1.5921275100730847 44068907554.01468 132540385677.62529 -1225900906746.1672
1.5942378066012277 43903258870.61629 135501116250.2086 -1225789480561.5122
1.5963509002366427 43738178302.24405 138462460280.3362 -1225675743309.122
1.5984667946867757 43573664140.1176 141424414202.593 -1225559700795.3647
1.6005854936639854 43409714679.62191 144386974450.43057 -1225441358818.9111
1.602707000885552 43246328220.30064 147350137456.18643 -1225320723170.7363
1.6048313200736828 43083503065.8495 150313899651.0998 -1225197799634.122
1.6069584549555185 42921237524.109985 153278257465.32718 -1225072593984.6597
1.60908840926314 42759529907.062416 156243207327.95972 -1224945111990.2527
1.6112211867335746 42598378530.8197 159208745667.03952 -1224815359411.1177
1.6133567911088034 42437781715.620674 162174868909.57596 -1224683341999.789
1.6154952261357671 42277737785.82341 165141573481.56305 -1224549065501.1199
1.6176364955663727 42118245069.8988 168108855807.99442 -1224412535652.2847
1.6197806031575006 41959301900.42396 171076712312.88187 -1224273758182.7827
1.6219275526710102 41800906614.07556 174045139419.2695 -1224132738814.4392
1.6240773478737474 41643057551.623436 177014133549.25217 -1223989483261.409
1.6262299925375507 41485753057.923836 179983691123.991 -1223843997230.178
1.6283854904392587 41328991481.91292 182953808563.73077 -1223696286419.5662
1.630543845360715 41172771176.60026 185924482287.81488 -1223546356520.7307
1.6327050610887768 41017090499.06211 188895708714.70352 -1223394213217.1677
1.6348691414153198 40861947810.434975 191867484261.98898 -1223239862184.715
1.6370360901372463 40707341475.90891 194839805346.41284 -1223083309091.554
1.639205911056491 40553269864.72108 197812668383.88223 -1222924559598.2139
1.6413786079800274 40399731350.14905 200786069789.48572 -1222763619357.572
1.6435541847198762 40246724309.50429 203760005977.5115 -1222600494014.8584
1.64573264509311 40094247124.12547 206734473361.4622 -1222435189207.6572
1.6479139929218602 39942298179.37217 209709468354.07104 -1222267710565.9094
1.6500982320333253 39790875864.61788 212684987367.32034 -1222098063711.9158
1.6522853662597763 39639978573.24375 215661026812.4569 -1221926254260.339
1.654475399438563 39489604702.631935 218637583100.00702 -1221752287818.2073
1.6566683354121226 39339752654.15883 221614652639.79587 -1221576169984.915
1.6588641780279847 39190420833.188736 224592231840.96204 -1221397906352.227
1.6610629311387781 39041607649.06717 227570317111.9732 -1221217502504.2805
1.6632645986022392 38893311515.114136 230548904860.64526 -1221034964017.5886
1.6654691842812166 38745530848.61784 233527991494.15613 -1220850296461.041
1.66767669204368 38598264070.82783 236507573419.06448 -1220663505395.909
1.669887125762725 38451509606.94858 239487647041.32352 -1220474596375.8457
1.6721004893165814 38305265886.132744 242468208766.30005 -1220283574946.8914
1.6743167865886188 38159531341.47477 245449254998.78885 -1220090446647.4734
1.676536021467355 38014304410.00412 248430782143.03098 -1219895217008.4114
1.678758197846461 37869583532.6788 251412786602.72812 -1219697891552.9172
1.680983319624769 37725367154.378784 254395264781.06067 -1219498475796.6003
1.6832113907062791 37581653723.899254 257378213080.7035 -1219296975247.4692
1.6854424150001655 37438441693.94425 260361627903.84158 -1219093395405.933
1.6876763964207846 37295729521.119896 263345505652.18866 -1218887741764.807
1.6899133388876804 37153515665.92794 266329842727.00058 -1218680019809.3115
1.6921532463255924 37011798592.75904 269314635529.0941 -1218470235017.0789
1.6943961226644624 36870576769.886246 272299880458.86227 -1218258392858.153
1.6966419718394405 36729848669.458466 275285573916.2904 -1218044498794.9932
1.6988907977908934 36589612767.49377 278271712300.9733 -1217828558282.477
1.7011426044644102 36449867543.872826 281258292012.1316 -1217610576767.9026
1.7033973958108097 36310611482.332375 284245309448.6267 -1217390559690.992
1.7056551757861473 36171843070.45859 287232761008.9787 -1217168512483.8933
1.7079159483517226 36033560799.68049 290220643091.3827 -1216944440571.184
1.7101797174740845 35895763165.263336 293208952093.7232 -1216718349369.8735
